"RingNR","Year","GroupID","Trial_day","TrialID","Tag.ID","Well_distribution","Observer_ID","TrialNR_feeder","TrialNR_Indiv","Flock","AviaryNR","Trial_Idcode","Sex","Barcode","Weight_IN","Weight_OUT","Unbaited_visits_dur","Unbaited_visits_n","Baited_visits_dur","Baited_visits_n","Search_finds_visits_dur","Search_finds_visits_n","SF_visits_dur","SF_visits_n","Revisit_prod_dur","Revisits_prod_n","Join_visits_dur","Join_visits_n","Join_visits_NL_dur","Join_visits_NL_n","Join_FS_visits_dur","Join_FS_visits_n","Join_FL_visits_dur","Join_FL_visits_n","Join_BS_visits_dur","Join_BS_visits_n","Join_BL_visits_dur","Join_BL_visits_n","Join_latent_visits_dur","Join_latent_visits_n","Baited_visits_n2","Baited_visits_duration2","Join_visits_n2","Join_visits_duration2","Join_revisits_n2","Join_revisits_duration2","SF_visits_n2","SF_visits_duration2","Prim_prd_visits_n","Prim_prd_visits_duration","Secondary_visits_n","Secondary_visits_duration","Dir_scr_visits_n","Dir_scr_visits_duration","Vac_scr_visits_n","Vac_scr_visits_duration","Prim_prd_revisits_n","Prim_prd_revisits_duration","Dir_scr_revisits_n","Dir_scr_revisits_duration","Vac_scr_revisits_n","Vac_scr_revisits_duration","Time_spent_baited_wells","Total_feeds_RFID","Producing_feeds_RFID","Scrounging_feeds_RFID","SF_feeds_RFID","Producing_feeds_RFID2","Scrounging_feeds_RFID2","SF_feeds_RFID2","Activity_visits","Activity_distance","Board_time","Exploration1","Exploration2","Latency","Arrival_order","Trial_indiv_index","Avg_dist_1.2","Avg_dist_1.3","Avg_dist_2.3","Prd_rate","Scr_rate","Indiv_index","Opponent1_ID","Opponent2_ID","Opponent_producing_sum","Opponent_scrounging_sum","Opponent_producing_dur_sum","Opponent_scrounging_dur_sum","Opponent_producing_rate_sum","Opponent_scrounging_rate_sum","Opponent1_producing","Opponent2_producing","Opponent1_scrounging","Opponent2_scrounging","Opponent1_producing_dur","Opponent2_producing_dur","Opponent1_scrounging_dur","Opponent2_scrounging_dur","Opponent1_producing_rate","Opponent2_producing_rate","Opponent1_scrounging_rate","Opponent2_scrounging_rate","Opponent1_primary_producing","Opponent2_primary_producing","Opponent1_secondary_visits","Opponent2_secondary_visits","Opponent1_primary_producing_dur","Opponent2_primary_producing_dur","Opponent1_secondary_visits_dur","Opponent2_secondary_visits_dur","Opponent_primary_producing_sum","Opponent_secondary_visit_rate_sum","Opponent1_direct_scrounging","Opponent2_direct_scrounging","Opponent1_vacant_scrounging","Opponent2_vacant_scrounging","Opponent1_primary_producing_revisits","Opponent2_primary_producing_revisits","Opponent1_direct_scrounging_revisits","Opponent2_direct_scrounging_revisits","Opponent1_vacant_scrounging_revisits","Opponent2_vacant_scrounging_revisits","Opponent1_primary_producing_total_duration","Opponent2_primary_producing_total_duration","Opponent1_direct_scrounging_total_duration","Opponent2_direct_scrounging_total_duration","Opponent1_vacant_scrounging_total_duration","Opponent2_vacant_scrounging_total_duration","Focal_ID_index","Opponent1_ID_index","Opponent2_ID_index","TrialID_index","Group_index","Flock_index","Well_dist_index","MC_Opponent_scrounging_sum","Year_bin","Grp_tr_b4","Trial_day_bin","Prop_PS","Prop_PS2","Total_events","bmr_YN","Recapture_YN","Retested"
"8P14310","2022",6,1,"100_1","000724C21D","3down","TZH",3,1,"Selnes",4,"B","M","Lemur",31,"27.5",8.54700000000594,4,123.122999999985,9,28.2229999999909,3,94.8999999999942,6,67.6430000000036,2,0,0,0,0,0,0,4.53200000001379,4,0,0,1.40400000000227,1,0,0,9,123.122999999985,0,0,0,0,6,94.8999999999942,2,71.3199999999925,7,51.8029999999926,0,0,0,0,8,114.296999999999,0,0,0,0,240.403999999988,51,41,0,20,26,0,20,76,1654.47241758961,385.686999999991,10,6,17.112000000001,2,3,22.6824116113465,26.1298017127599,26.7115842408874,0.319230360369906,0,50,"8P31038","8P14907",12,3,839.893999999985,86.403999999995,0.969859094879786,0.104683158231904,7,5,2,1,313.497999999992,526.395999999993,73.7829999999958,12.6209999999992,0.385232535706436,0.58462655917335,0.0906660080192762,0.0140171502126279,1,2,6,3,19.3050000000003,255.220999999998,294.192999999992,271.174999999995,274.525999999998,565.367999999987,0,0,1,1,1,1,0,0,6,6,41.8960000000006,41.8960000000006,0,0,349.217999999986,349.217999999986,50,138,72,4,6,4,8,-3.93840761141713,0,0,0,0,0,9,1,0,0
"8P14907","2022",6,1,"100_1","000724BF5C","3down","TZH",3,1,"Selnes",4,"C","F","Footballer",27.1,"25.3",1.32399999999325,1,526.395999999993,5,0,0,526.395999999993,5,290.646000000001,2,12.6209999999992,1,12.6209999999992,1,0,0,0,0,12.6209999999992,1,0,0,0,0,5,526.395999999993,1,12.6209999999992,1,116.633999999998,5,526.395999999993,2,255.220999999998,3,271.174999999995,1,12.6209999999992,1,89.2869999999966,1,271.576000000001,0,0,2,181.887999999999,813.483,174,175,2,113,113,27,113,22,370.952707237297,900.396999999976,7,7,16.3910000000033,1,2,31.2714847956411,26.4350910794801,26.7115842408874,0.58462655917335,0.0140171502126279,72,"8P14310","8P31038",16,2,436.620999999977,73.7829999999958,0.704462896076342,0.0906660080192762,9,7,0,2,123.122999999985,313.497999999992,0,73.7829999999958,0.319230360369906,0.385232535706436,0,0.0906660080192762,2,1,7,6,71.3199999999925,19.3050000000003,51.8029999999926,294.192999999992,90.6249999999928,345.995999999985,0,0,0,0,8,8,0,0,0,0,185.616999999991,185.616999999991,0,0,0,0,72,50,138,4,6,4,8,-4.93840761141713,0,0,0,0.166666666666667,0.166666666666667,6,1,0,0
"8P31038","2022",6,1,"100_1","000724B3CD","3down","TZH",3,1,"Selnes",4,"A","F","Water_faucet",30.4,"26",7.16999999999826,2,313.497999999992,7,19.3050000000003,1,294.192999999992,6,91.7959999999948,3,73.7829999999958,2,3.87700000000041,1,0,0,3.87700000000041,1,0,0,0,0,69.9059999999954,1,7,313.497999999992,2,73.7829999999958,2,37.5159999999959,6,294.192999999992,1,19.3050000000003,6,294.192999999992,0,0,1,14.9249999999956,1,22.5910000000003,0,0,6,334.29299999999,407.832999999976,87,87,15,63,67,23,63,51,903.265161889846,813.788999999967,7,4,44.3499999999985,3,1,31.2714847956411,26.1298017127599,27.907478160981,0.385232535706436,0.0906660080192762,138,"8P14907","8P14310",14,1,649.518999999978,12.6209999999992,0.903856919543256,0.0140171502126279,5,9,1,0,526.395999999993,123.122999999985,12.6209999999992,0,0.58462655917335,0.319230360369906,0.0140171502126279,0,2,2,3,7,255.220999999998,71.3199999999925,271.174999999995,51.8029999999926,326.540999999991,322.977999999988,1,1,1,1,1,1,0,0,2,2,526.796999999999,526.796999999999,12.6209999999992,12.6209999999992,271.174999999996,271.174999999996,138,72,50,4,6,4,8,-5.93840761141713,0,0,0,0.222222222222222,0.222222222222222,9,1,0,0
"8P14982","2022",6,1,"100_3","000724C929","3down","CDG",3,1,"Selnes",4,"F","F","J",27.9,"25.6",14.8969999999827,5,78.2560000000158,10,39.0910000000076,5,39.1650000000082,5,0,0,27.7200000000012,5,27.7200000000012,5,0,0,6.93500000000495,3,0,0,0,0,0,0,10,78.2560000000158,5,27.7200000000012,0,0,5,39.1650000000082,2,24.4580000000133,8,53.7980000000025,0,0,0,0,7,47.8639999999941,0,0,0,0,164.213000000025,35,16,5,8,16,5,8,127,3154.12055483582,476.912999999993,23,12,-9.41100000000006,1,3,52.8737728420963,27.1995423794821,51.3874919659908,0.164088628324279,0.0581238087449946,90,"8P14986","8P31039",8,8,76.4049999999988,35.9369999999981,0.232507269701446,0.113469425690582,3,5,2,6,43.8579999999929,32.5470000000059,8.83699999999953,27.0999999999986,0.126952056479712,0.105555213221734,0.025579719164379,0.087889706526203,1,0,2,5,27.1650000000009,0,16.692999999992,32.5470000000059,27.1650000000009,49.2399999999979,0,0,1,1,0,0,0,0,0,0,27.1650000000009,27.1650000000009,0,0,11.012999999999,11.012999999999,90,91,139,5,6,4,8,1.06159238858287,0,0,0,0.333333333333333,0.333333333333333,15,1,0,0
"8P14986","2022",6,1,"100_3","000724C2D6","3down","CDG",3,1,"Selnes",4,"D","M","Yoga",31.3,"28",5.6160000000018,3,43.8579999999929,3,5.67999999999302,1,38.1779999999999,2,14.3240000000005,1,8.83699999999953,2,0,0,0,0,2.53300000000309,3,0,0,0.881999999997788,1,8.83699999999953,2,3,43.8579999999929,2,8.83699999999953,0,0,2,38.1779999999999,1,27.1650000000009,2,16.692999999992,0,0,1,11.012999999999,0,0,0,0,0,0,85.1989999999933,18,12,1,8,9,1,8,78,1874.76296581648,345.469000000026,18,10,8.71699999999691,3,1,57.1770615043027,27.1995423794821,57.1463189111408,0.126952056479712,0.025579719164379,91,"8P31039","8P14982",15,11,110.803000000022,54.8199999999998,0.269643841546013,0.146013515271198,5,10,6,5,32.5470000000059,78.2560000000158,27.0999999999986,27.7200000000012,0.105555213221734,0.164088628324279,0.087889706526203,0.0581238087449946,0,2,5,8,0,24.4580000000133,32.5470000000059,53.7980000000025,24.4580000000133,86.3450000000084,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6.50500000000466,6.50500000000466,91,139,90,5,6,4,8,4.06159238858287,0,0,0,0.4,0.4,5,1,0,0
"8P31039","2022",6,1,"100_3","000724C64E","3down","CDG",3,1,"Selnes",4,"E","F","Ghost",27.5,"25.3",32.2950000000128,11,32.5470000000059,5,26.0420000000013,4,6.50500000000466,1,0,0,27.0999999999986,6,21.1080000000002,4,0,0,3.50699999999779,1,0,0,0,0,5.99199999999837,2,5,32.5470000000059,6,27.0999999999986,0,0,1,6.50500000000466,0,0,5,32.5470000000059,0,0,1,6.50500000000466,0,0,0,0,0,0,115.174000000021,24,6,5,1,6,5,1,118,3151.52063133887,308.34100000003,27,12,-7.5570000000007,2,2,57.1770615043027,30.6589301375765,51.3874919659908,0.105555213221734,0.087889706526203,139,"8P14982","8P14986",13,7,122.114000000009,36.5570000000007,0.291040684803991,0.0837035279093736,10,3,5,2,78.2560000000158,43.8579999999929,27.7200000000012,8.83699999999953,0.164088628324279,0.126952056479712,0.0581238087449946,0.025579719164379,2,1,8,2,24.4580000000133,27.1650000000009,53.7980000000025,16.692999999992,51.6230000000142,70.4909999999945,0,0,0,0,7,7,0,0,0,0,72.3220000000074,72.3220000000074,0,0,0,0,139,90,91,5,6,4,8,0.0615923885828744,0,0,0,0.545454545454545,0.545454545454545,11,1,0,0
"8P14907","2022",6,1,"101_3","000724BF5C","4up","TZH",4,2,"Selnes",4,"C","F","Footballer",27.1,"25.3",19.5089999999982,10,230.821999999993,6,30.8119999999981,2,200.009999999995,4,44.137999999999,2,101.608,5,50.4130000000005,4,0,0,2.63700000000244,1,44.137999999999,2,0,0,51.1949999999997,1,6,230.821999999993,5,101.608,0,0,4,200.009999999995,4,180.865999999995,2,49.9559999999983,0,0,0,0,6,165.396999999997,0,0,0,0,386.102999999974,82,59,21,42,49,21,42,87,1747.79605756317,644.435999999965,15,9,69.1730000000025,2,2,49.1467850078617,46.2358538007577,21.7405577132182,0.358176762316204,0.157669652223038,72,"8P31039","8P31038",17,13,275.817999999992,221.245999999984,0.463004052754235,0.407274472476316,5,12,9,4,116.442000000003,159.375999999989,193.436999999998,27.8089999999865,0.219598302687411,0.243405750066824,0.364803394625163,0.0424710778511538,0,6,5,6,0,86.5239999999976,116.442000000003,72.8519999999917,86.5239999999976,189.293999999995,2,2,0,0,0,0,7,7,0,0,0,0,279.356000000007,279.356000000007,0,0,72,139,138,6,6,4,14,6.06159238858287,0,0,0,0.454545454545455,0.454545454545455,11,1,0,0
"8P31038","2022",6,1,"101_3","000724B3CD","4up","TZH",4,2,"Selnes",4,"A","F","Water_faucet",30.4,"26",14.4120000000112,5,159.375999999989,12,90.6689999999944,8,68.7069999999949,4,45.0570000000006,4,27.8089999999865,4,21.6059999999925,3,0,0,0,0,0,0,0,0,6.20299999999406,1,12,159.375999999989,4,27.8089999999865,2,12.2749999999942,4,68.7069999999949,6,86.5239999999976,6,72.8519999999917,0,0,1,32.4449999999997,7,58.5929999999935,0,0,0,0,228.494999999959,49,43,5,14,34,8,14,108,2850.26557447468,654.774999999936,27,20,73.7989999999991,3,1,49.1467850078617,45.1090287282016,20.1240867479333,0.243405750066824,0.0424710778511538,138,"8P14907","8P31039",11,14,347.263999999996,295.044999999998,0.577775065003616,0.5224730468482,6,5,5,9,230.821999999993,116.442000000003,101.608,193.436999999998,0.358176762316204,0.219598302687411,0.157669652223038,0.364803394625163,4,0,2,5,180.865999999995,0,49.9559999999983,116.442000000003,180.865999999995,166.398000000001,0,0,0,0,6,6,0,0,0,0,346.262999999992,346.262999999992,0,0,0,0,138,72,139,6,6,4,14,7.06159238858287,0,0,0,0.25,0.25,16,1,0,0
"8P31039","2022",6,1,"101_3","000724C64E","4up","TZH",4,2,"Selnes",4,"E","F","Ghost",27.5,"25.3",19.9539999999979,9,116.442000000003,5,22.5999999999985,3,93.8420000000042,2,0,0,193.436999999998,9,193.436999999998,9,18.4990000000034,1,20.5320000000065,7,155.617999999995,4,0.529999999998836,1,0,0,5,116.442000000003,9,193.436999999998,0,0,2,93.8420000000042,0,0,5,116.442000000003,2,21.2780000000057,0,0,0,0,7,258.078000000001,0,0,368.963000000011,79,25,41,20,25,41,20,101,2593.94912425895,530.250000000015,22,9,66.3740000000034,1,3,44.140607049504,45.1090287282016,21.7405577132182,0.219598302687411,0.364803394625163,139,"8P31038","8P14907",18,9,390.197999999982,129.416999999987,0.601582512383028,0.200140730074191,12,6,4,5,159.375999999989,230.821999999993,27.8089999999865,101.608,0.243405750066824,0.358176762316204,0.0424710778511538,0.157669652223038,6,4,6,2,86.5239999999976,180.865999999995,72.8519999999917,49.9559999999983,267.389999999993,122.80799999999,0,0,1,1,7,7,0,0,0,0,145.116999999991,145.116999999991,0,0,32.4449999999997,32.4449999999997,139,138,72,6,6,4,14,2.06159238858287,0,0,0,0.642857142857143,0.642857142857143,14,1,0,0
"8P14907","2022",6,1,"102_1","000724BF5C","6down","TZH",4,3,"Selnes",4,"C","F","Footballer",27.1,"25.3",9.52900000000226,3,159.864999999998,6,38.7609999999986,4,121.103999999999,2,269.649999999994,4,287.527999999998,6,64.2920000000013,5,0,0,2.52599999999802,2,37.7389999999941,3,0,0,223.235999999997,1,6,159.864999999998,6,287.527999999998,1,37.6199999999953,2,121.103999999999,1,19.9230000000025,5,139.941999999995,1,13.9110000000001,0,0,4,345.616999999998,5,287.382999999987,0,0,689.68799999998,148,92,61,26,34,69,26,54,1005.17827165407,862.736999999979,8,7,18.3859999999986,3,1,33.0363073394246,24.7511120373936,26.9368890149759,0.185299807473195,0.333274219142108,72,"8P31039","8P14982",15,27,321.021,620.479000000021,0.414940624246529,0.801195043664645,7,8,20,7,162.074999999997,158.946000000003,307.15300000002,313.326000000001,0.22019085245073,0.194749771795799,0.417290025622734,0.383905018041911,3,3,4,5,110.675999999999,73.9670000000042,51.3989999999975,84.9789999999993,184.643000000003,136.377999999997,3,3,0,0,1,1,20,20,0,0,116.864000000001,116.864000000001,393.480000000011,393.480000000011,0,0,72,139,90,7,6,4,26,20.0615923885829,0,0,0,0.5,0.5,12,1,0,0
"8P14982","2022",6,1,"102_1","000724C929","6down","TZH",4,2,"Selnes",4,"F","F","J",27.9,"25.6",25.9290000000037,9,158.946000000003,8,0,0,158.946000000003,8,247.490999999994,5,313.326000000001,7,259.683999999994,5,0,0,0,0,41.6809999999969,2,0,0,53.6420000000071,2,8,158.946000000003,7,313.326000000001,0,0,8,158.946000000003,3,73.9670000000042,5,84.9789999999993,1,25.6519999999946,0,0,10,464.342000000004,3,89.3899999999921,0,0,674.127000000008,144,87,67,34,34,67,34,59,1020.15397016104,816.155000000014,13,8,17.663999999997,2,3,35.6806570729567,24.7511120373936,26.764473204706,0.194749771795799,0.383905018041911,90,"8P14907","8P31039",13,26,321.939999999995,594.681000000018,0.405490659923925,0.750564244764842,6,7,6,20,159.864999999998,162.074999999997,287.527999999998,307.15300000002,0.185299807473195,0.22019085245073,0.333274219142108,0.417290025622734,1,3,5,4,19.9230000000025,110.675999999999,139.941999999995,51.3989999999975,130.599000000001,191.340999999993,1,1,0,0,4,4,5,5,0,0,365.54,365.54,301.293999999987,301.293999999987,0,0,90,72,139,7,6,4,26,19.0615923885829,0,0,0,0.466666666666667,0.466666666666667,15,1,0,0
"8P31039","2022",6,1,"102_1","000724C64E","6down","TZH",4,3,"Selnes",4,"E","F","Ghost",27.5,"25.3",18.2000000000116,7,162.074999999997,7,24.9530000000013,3,137.121999999996,4,124.404000000002,8,307.15300000002,20,275.959000000017,17,8.57300000000396,1,22.1189999999915,12,137.593000000001,8,0.531999999999243,1,31.1940000000031,3,7,162.074999999997,20,307.15300000002,0,0,4,137.121999999996,3,110.675999999999,4,51.3989999999975,3,121.464999999997,0,0,1,6.18800000000192,20,272.015000000014,0,0,564.502999999997,121,61,66,29,34,66,29,116,2288.67314951154,736.065999999992,20,15,6.76499999999942,1,2,33.0363073394246,24.8184664283271,26.764473204706,0.22019085245073,0.417290025622734,139,"8P14982","8P14907",14,13,318.811000000001,600.853999999999,0.380049579268994,0.717179237184019,8,6,7,6,158.946000000003,159.864999999998,313.326000000001,287.527999999998,0.194749771795799,0.185299807473195,0.383905018041911,0.333274219142108,3,1,5,5,73.9670000000042,19.9230000000025,84.9789999999993,139.941999999995,93.8900000000067,224.920999999994,1,1,0,0,10,10,3,3,0,0,538.309000000008,538.309000000008,115.041999999987,115.041999999987,0,0,139,90,72,7,6,4,26,6.06159238858287,0,0,0,0.740740740740741,0.740740740740741,27,1,0,0
